Code,Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
074,Bouvet Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,Nicaragua,1.1,0.0,0.0,1.2,0.9,0.0,4.9,4.3,163.5,0.3,51.3
768,Togo,0.0,3.4,0.2,0.0,0.1,0.0,0.0,139.4,139.9,183.7,0.3
096,Brunei Darussalam,1.2,1.8,0.1,1.2,5.2,0.0,0.0,3.3,1.4,1.0,5.3
430,Liberia,2.8,0.5,7.2,0.0,0.0,0.0,0.1,0.0,0.4,7.3,8.9
706,Somalia,1.5,0.0,0.0,1.1,0.0,0.2,0.0,0.0,7.9,0.1,6.4
776,Tonga,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.3
132,Cabo Verde,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
454,Malawi,0.1,0.0,0.3,0.0,0.1,0.7,0.0,0.0,0.0,0.1,0.4
732,Western Sahara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
780,Trinidad and Tobago,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.003,8.3
591,Panama,668.2,246.5,11.8,10.8,0.5,0.0,1.8,1145.6,305.4,265.7,200.2
788,Tunisia,357.9,595.1,2190.0,1357.3,762.1,135.3,796.3,1426.1,575.1,1318.5,1081.0
136,Cayman Islands,15.1,8.2,5.7,9.7,0.0,0.0,0.0,0.2,0.2,243.7,188.5
450,Madagascar,0.7,0.1,69.8,0.3,0.0,0.0,0.0,0.0,1231.6,0.02,97.6
